                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7854,                 1.7822,                 1.9986,                0.61498,                0.48485,                0.52073,                0.24561,                  1.817,                 1.7801,                 2.0531,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8306,                 1.7634,                 1.9821,                0.61448,                0.44436,                0.51812,                0.24333,                 1.8343,                 1.8218,                 2.0322,               0.001307,               0.001307,               0.001307
                     37,                 1.8002,                 1.7572,                 1.9628,                0.56493,                0.40921,                0.45699,                 0.2193,                 1.8454,                 1.8967,                 2.0846,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7132,                 1.6767,                 1.9255,                0.56301,                0.43939,                0.46998,                0.23448,                 1.8358,                 1.7819,                 2.0446,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7564,                 1.7213,                 1.9594,                0.49719,                0.45546,                0.46488,                0.23621,                 1.6772,                 2.0615,                  1.955,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7375,                 1.7169,                 1.9332,                0.60142,                0.41515,                 0.4918,                0.24938,                 1.7511,                 1.9475,                 1.9662,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.757,                 1.6707,                 1.9773,                0.61891,                0.46753,                  0.544,                0.26185,                 1.7858,                 1.7351,                 2.0005,               0.001208,               0.001208,               0.001208
                     42,                 1.7813,                 1.6929,                 1.9256,                0.64901,                0.44826,                0.51252,                0.25097,                 1.8108,                 1.7741,                 2.0203,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6916,                 1.6325,                 1.8967,                0.56059,                0.42526,                 0.4904,                0.24301,                 1.8267,                 1.7762,                 2.0669,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7337,                 1.6657,                 1.8922,                0.54015,                    0.5,                0.54344,                0.28348,                 1.7966,                 1.6866,                 1.9629,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.681,                 1.5759,                  1.884,                0.62582,                0.49668,                0.56783,                0.28423,                 1.7424,                 1.6742,                 1.9514,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6206,                 1.6396,                 1.8509,                 0.6389,                0.48788,                0.54246,                0.27493,                 1.7546,                 1.7229,                 1.9793,               0.001109,               0.001109,               0.001109
                     47,                 1.7371,                 1.6557,                 1.9751,                 0.6045,                    0.5,                0.54588,                0.27796,                 1.7098,                 1.6845,                 1.9232,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6776,                 1.5364,                 1.8123,                  0.629,                0.51818,                0.56864,                0.29262,                 1.7279,                 1.6578,                 1.9317,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6495,                 1.5388,                 1.8311,                 0.6938,                0.52121,                0.58978,                0.30575,                 1.7069,                 1.6163,                 1.8939,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5948,                  1.465,                 1.7632,                 0.6158,                0.56061,                0.58192,                0.32085,                 1.6491,                  1.586,                 1.8714,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6331,                 1.5351,                  1.828,                0.65006,                0.52915,                0.60937,                0.32709,                  1.676,                 1.5766,                 1.8925,                0.00101,                0.00101,                0.00101
                     52,                 1.6271,                 1.4931,                 1.8074,                0.73269,                0.47879,                0.58458,                0.29314,                 1.7385,                 1.6116,                 1.8996,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6695,                 1.5003,                  1.896,                0.58572,                0.54411,                0.58331,                0.31503,                 1.6944,                 1.5582,                 1.9352,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5721,                 1.4515,                 1.7581,                 0.7284,                0.50909,                0.60025,                0.31391,                 1.6878,                 1.5698,                  1.897,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5652,                 1.5096,                 1.7933,                0.66014,                0.51798,                0.58522,                0.30128,                 1.7572,                 1.6152,                 1.9054,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5778,                 1.4712,                 1.7784,                0.74213,                0.48182,                0.58482,                0.31943,                 1.6591,                 1.6126,                 1.8838,               0.000911,               0.000911,               0.000911
                     57,                 1.5742,                 1.4171,                 1.7887,                 0.6447,                0.53336,                0.62147,                0.33049,                 1.6045,                 1.5724,                 1.8451,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5662,                 1.4254,                 1.7504,                0.69414,                0.55019,                0.62257,                 0.3383,                 1.6576,                 1.5283,                 1.8611,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5557,                 1.4088,                 1.7556,                0.69459,                0.55152,                0.62416,                0.34714,                 1.6416,                 1.4985,                 1.8549,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6078,                 1.5086,                   1.78,                0.68568,                0.52727,                0.60688,                0.32027,                 1.7081,                 1.5396,                 1.8927,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5512,                 1.3585,                 1.7295,                0.69727,                0.54545,                 0.6376,                0.35795,                 1.6404,                 1.4356,                  1.841,               0.000812,               0.000812,               0.000812
                     62,                 1.5629,                 1.3435,                 1.7277,                 0.6645,                0.54242,                0.61142,                0.34005,                 1.6085,                 1.4725,                 1.8233,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5295,                 1.3567,                  1.725,                0.67539,                0.53939,                0.62421,                0.34189,                 1.6271,                 1.4471,                 1.8265,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5231,                 1.3362,                 1.7319,                0.67163,                0.56364,                0.62759,                0.34916,                 1.6176,                 1.4892,                 1.8322,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5174,                 1.3441,                 1.7319,                0.73016,                0.54939,                0.63934,                0.35652,                 1.6216,                 1.4685,                 1.8449,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.487,                 1.3399,                 1.7133,                0.76355,                0.54848,                0.65008,                0.35484,                 1.6047,                 1.4921,                 1.8118,               0.000713,               0.000713,               0.000713
                     67,                 1.5064,                 1.3088,                 1.7307,                0.69308,                0.55427,                0.63132,                0.35003,                  1.622,                 1.4817,                 1.8422,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4913,                  1.303,                 1.6725,                0.70249,                0.56364,                0.64086,                0.35552,                  1.645,                  1.421,                 1.8579,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4846,                  1.269,                 1.6864,                0.68779,                0.57273,                0.66153,                 0.3554,                 1.6544,                 1.4271,                 1.8522,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.475,                 1.2945,                 1.7121,                 0.6377,                0.63473,                0.64957,                0.35502,                 1.6331,                  1.432,                 1.8525,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4879,                 1.3172,                 1.6886,                0.71031,                0.60185,                0.68167,                0.37791,                  1.591,                 1.3711,                 1.8116,               0.000614,               0.000614,               0.000614
                     72,                 1.4908,                 1.2969,                 1.7029,                0.70146,                0.61212,                0.67808,                0.36908,                 1.6069,                 1.3624,                 1.8249,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4584,                 1.2446,                 1.6726,                0.68725,                0.60909,                0.66122,                0.36717,                 1.6031,                 1.3973,                 1.8081,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4721,                 1.2728,                 1.6902,                0.75862,                0.54287,                 0.6665,                0.37229,                 1.5805,                 1.4203,                 1.8055,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4998,                 1.3181,                 1.7048,                0.71109,                0.58182,                0.66769,                0.36547,                 1.6032,                 1.3722,                 1.8034,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4546,                 1.2668,                 1.6298,                0.70331,                0.58485,                0.66413,                 0.3545,                 1.6511,                 1.4791,                 1.8898,               0.000515,               0.000515,               0.000515
                     77,                 1.4646,                 1.3008,                 1.6902,                0.75878,                0.56667,                0.69064,                0.38221,                 1.6048,                 1.3575,                 1.8122,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4441,                 1.2791,                 1.6666,                0.71905,                0.63333,                0.69611,                0.39248,                 1.5618,                 1.3459,                 1.7897,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4076,                 1.1893,                 1.6208,                0.74471,                0.59091,                0.69141,                0.38623,                 1.5891,                 1.3296,                 1.8036,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4211,                 1.1763,                 1.6092,                0.68602,                0.64223,                0.68948,                0.39397,                 1.5546,                 1.3272,                 1.7813,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.4155,                  1.223,                 1.6376,                0.69665,                0.59153,                0.68918,                0.38823,                 1.5528,                 1.3243,                 1.7868,               0.000416,               0.000416,               0.000416
                     82,                 1.4309,                 1.2084,                 1.6657,                0.70956,                0.62121,                0.68462,                0.39089,                 1.5472,                 1.3383,                 1.7623,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4177,                 1.2163,                 1.6215,                  0.811,                0.57879,                0.69472,                0.38643,                 1.5585,                 1.3077,                 1.7615,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.4266,                  1.182,                 1.6465,                0.70007,                0.60606,                0.68594,                0.38838,                 1.5459,                 1.3311,                 1.7723,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.4268,                 1.2087,                 1.6393,                0.77308,                0.59091,                0.68707,                0.39571,                 1.5548,                 1.3342,                 1.7934,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3998,                 1.1888,                 1.6223,                0.70002,                0.60606,                0.68808,                 0.3846,                 1.5871,                   1.33,                 1.7863,               0.000317,               0.000317,               0.000317
                     87,                 1.4163,                 1.1931,                 1.6291,                0.74731,                0.58485,                0.69387,                0.39718,                 1.5314,                 1.3104,                 1.7577,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3906,                 1.1839,                 1.6399,                0.74437,                0.57355,                0.68239,                0.39945,                 1.5381,                 1.3202,                 1.7718,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3801,                 1.1476,                  1.596,                0.75845,                    0.6,                0.69729,                0.39285,                 1.5441,                 1.3025,                 1.7551,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.4093,                 1.2877,                 1.6663,                0.74263,                0.60332,                0.70475,                 0.4051,                 1.5221,                 1.2596,                 1.7602,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2863,                 1.1479,                 1.5577,                0.67461,                0.61212,                0.68454,                0.39343,                 1.5682,                 1.3244,                 1.7965,               0.000218,               0.000218,               0.000218
                     92,                 1.2579,                 1.0962,                 1.5312,                0.73619,                0.60039,                0.68883,                0.39516,                 1.5578,                  1.325,                 1.8059,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2826,                 1.1237,                 1.5634,                0.77613,                0.58831,                0.69748,                0.39995,                 1.5337,                 1.3291,                 1.7583,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2135,                 1.0276,                 1.5018,                0.74083,                0.60909,                0.70734,                0.40487,                 1.5502,                 1.2872,                 1.7795,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2171,                 1.0623,                 1.5244,                  0.779,                0.59817,                0.70611,                0.40912,                 1.5463,                  1.275,                 1.8044,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2158,                0.99278,                 1.5013,                0.76839,                0.59697,                0.70894,                0.41565,                 1.5399,                 1.2705,                 1.7855,               0.000119,               0.000119,               0.000119
                     97,                 1.3324,                 1.1306,                 1.6296,                0.79116,                0.58548,                0.71053,                0.41602,                 1.5264,                 1.2639,                  1.759,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2205,                0.98491,                 1.4918,                0.78796,                0.59697,                0.71609,                 0.4156,                 1.5322,                 1.2529,                 1.7683,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2223,                 1.0432,                 1.4974,                0.77101,                0.59697,                0.71428,                0.41814,                  1.532,                  1.244,                 1.7699,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1868,                0.94767,                  1.475,                0.75445,                    0.6,                0.71742,                0.41639,                 1.5309,                 1.2418,                 1.7796,               3.98e-05,               3.98e-05,               3.98e-05
